('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L21+L22+A2+TA2 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'D2+TD2 DINESH KUMAR S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 CHY BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L23+L24+A2+TA2 CSE2011 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L25+L26+E2+TE2 CHY VIJAYAKUMAR V + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'D2+TD2 MAT2001ETH DINESH KUMAR S', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L25+L26+E2+TE2 CHY VIJAYAKUMAR V + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L27+L28 MAT2001ELA DEEPA G', 'D2+TD2 MAT2001ETH DINESH KUMAR S', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L27+L28 MAT2001ELA DEEPA G', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'D2+TD2 MAT2001ETH DINESH KUMAR S', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'D2+TD2 MAT2001ETH DINESH KUMAR S', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'D2+TD2 MAT2001ETH DINESH KUMAR S', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L9+L10+E2+TE2 CHY THIRUMANAVELAN G + BADAL KUMAR MANDAL', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L13+L14+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L13+L14+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L9+L10 MAT2001ELA SUJATHA V/SARAVANARANJAN MC', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L27+L28 MAT2001ELA DEEPA G', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L15+L16 MAT2001ELA GOWSALYA M', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L9+L10 MAT2001ELA SUJATHA V/SARAVANARANJAN MC', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L5+L6+L7+L8+L23+L24 CSE1002 VELLINGIRI J', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L9+L10 MAT2001ELA SUJATHA V/SARAVANARANJAN MC', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L1+L2+L21+L22+L29+L30 CSE1002 SUGANYA P', 'L19+L20+A2+TA2 CSE2011 SHARMILA BANU K', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L9+L10 MAT2001ELA SUJATHA V/SARAVANARANJAN MC', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L1+L2+L21+L22+L29+L30 CSE1002 SUGANYA P', 'L23+L24+A2+TA2 CSE2011 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L9+L10 MAT2001ELA SUJATHA V/SARAVANARANJAN MC', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L21+L22+A2+TA2 CSE2011 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L27+L28 MAT2001ELA DEEPA G', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L21+L22+A2+TA2 CSE2011 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L27+L28 MAT2001ELA DEEPA G', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L29+L30+A2+TA2 CSE2011 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L23+L24+A2+TA2 CSE2011 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L27+L28 MAT2001ELA DEEPA G', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L13+L14+B2+TB2 CSE1003 LAVANYA N')
('L11+L12+D2+TD2 CHY ANAND PRABHU', 'L9+L10+L15+L16+L19+L20 CSE1002 PADMA PRIYA R', 'L23+L24+A2+TA2 CSE2011 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 MAT1014 JAYALAKSHMI M/NALLIAH M/RAJESH BHAT/ABHISHEK DAS', 'L13+L14 MAT2001ELA MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 MAT2001ETH DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S/SUJATHA V/SARAVANARANJAN MC', 'L27+L28+B2+TB2 CSE1003 NAVEEN MISHRA')
